Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,6.412383556365967,6.695000171661377,15.555866241455078,,23.077383041381836,6.427065366883855,6.83050012588501,15.6243699276313,,23.18922790624624,6.363543933606682,6.6570000648498535,15.49356926827421,,22.808954227959564,6.3950050132949166,6.8125,15.560830098480317,,22.831323769806293,493729600,151998000,78169752,,38409100
2010-01-05,6.423469066619873,6.734499931335449,15.4873628616333,,23.0848388671875,6.459724331548339,6.77400016784668,15.582919942994092,,23.189228643606956,6.389610496850538,6.5904998779296875,15.426554669728127,,22.846236101973883,6.430061078442964,6.671500205993652,15.566538647973083,,23.002820055510732,601904800,177038000,120067812,,49749600
2010-01-06,6.321296215057373,6.612500190734863,15.096944808959961,,22.94317054748535,6.44893875336688,6.736499786376953,15.533774571776659,,23.17431681043417,6.314704202262994,6.582499980926514,15.049787227822211,,22.75676194977524,6.423470013074288,6.730000019073486,15.533774571776659,,23.025189363392183,552160000,143576000,158988852,,58182400
2010-01-07,6.3096089363098145,6.5,14.745495796203613,,22.704561233520508,6.352156975480241,6.616000175476074,15.140132809436482,,22.890969777565225,6.263765691382862,6.440000057220459,14.709507835023047,,22.51069617705188,6.344666053082409,6.600500106811523,15.125240293435954,,22.83877419059787,477131200,220604000,256315428,,50559700
2010-01-08,6.351557731628418,6.676000118255615,14.942070960998535,,22.86114501953125,6.352157405510102,6.684000015258789,14.97259849179563,,23.0251840355725,6.264066552443561,6.451499938964844,14.621644917526195,,22.54797859095475,6.301219929854986,6.5279998779296875,14.693374919866347,,22.577804642335565,447610800,196610000,188783028,,51197400
2010-01-11,6.295529365539551,6.515500068664551,14.919483184814453,,22.570354461669922,6.382122057916812,6.639999866485596,15.002629670444557,,22.935715160481458,6.2457904238258015,6.4604997634887695,14.744005944272642,,22.458509581982277,6.376129317939396,6.63100004196167,15.002629670444557,,22.898432585795707,462229600,175588000,288227484,,68754700
2010-01-12,6.2239155769348145,6.367499828338623,14.655649185180664,,22.42122459411621,6.285340348320906,6.491000175476074,14.846265827431758,,22.66728387181977,6.184963975653417,6.327499866485596,14.594095657989532,,22.301923212331737,6.267961006095432,6.44950008392334,14.833607425010028,,22.480875285008448,594459600,181926000,193937868,,65912100
2010-01-13,6.311707973480225,6.45550012588501,14.571508407592773,,22.62999153137207,6.320097808664547,6.485499858856201,14.603525659974146,,22.756749364601404,6.115450958202926,6.287499904632568,14.24413413017102,,22.3764758649134,6.228411695924255,6.394999980926514,14.308417395269844,,22.562884359533953,605892000,214464000,259604136,,51863500
2010-01-14,6.27515172958374,6.367499828338623,14.640010833740234,,23.0848388671875,6.306013929007738,6.519000053405762,14.747977546625426,,23.189228643606956,6.262867017221309,6.320000171661377,14.465278928932108,,22.562895673828876,6.295527037973845,6.456999778747559,14.49233232430774,,22.600176822574255,432894000,195498000,169434396,,63228100
2010-01-15,6.170283317565918,6.35699987411499,14.395535469055176,,23.01027488708496,6.340173890449494,6.482500076293945,14.732093068520234,,23.29361529451088,6.168485495625938,6.353000164031982,14.346887216937448,,22.898428604658186,6.320098212119724,6.459000110626221,14.726631691432999,,23.17431392062791,594067600,307530000,217162620,,79913200
2010-01-19,6.443245887756348,6.380499839782715,14.584662437438965,,23.18922233581543,6.447740442378259,6.400000095367432,14.654158319311357,,23.29361066165514,6.209535048157436,6.2164998054504395,14.303453538291603,,22.876055936112014,6.242194278261896,6.315499782562256,14.425319618975964,,22.92825009903187,730007600,177852000,172495332,,46575700
2010-01-20,6.344067096710205,6.289000034332275,14.405713081359863,,22.808942794799805,6.458525189064216,6.460000038146973,14.543959529333844,,23.06991496345884,6.277249269939606,6.254000186920166,14.27863625779834,,22.600164775435793,6.439348828024793,6.356500148773193,14.543959529333844,,22.972981752896157,612152800,181494000,129897972,,54849500
2010-01-21,6.234402656555176,6.330999851226807,14.469500541687012,,22.37648582458496,6.39140921432311,6.40749979019165,14.564808867533909,,22.905885502292417,6.208634679550814,6.25,14.203183177925114,,22.369029310819208,6.354555070474916,6.36299991607666,14.480917980467707,,22.823866695238262,608154400,199412000,252055692,,73086700
2010-01-22,5.925184726715088,6.071499824523926,13.6511869430542,,21.59357261657715,6.217323935224247,6.383500099182129,14.162227693341691,,22.51816057013847,5.90750694778653,6.038000106811523,13.275165358298876,,21.504097280545295,6.195750876171056,6.28000020980835,14.010827234006092,,22.36903311383895,881767600,231378000,271743984,,102004600
2010-01-25,6.084588527679443,6.015500068664551,13.402740478515625,,21.86199188232422,6.133427751947065,6.113999843597412,13.647961433555187,,22.11550759355315,5.9982950834726685,5.906000137329102,13.29129867867255,,21.697952890075463,6.067809257973941,6.105000019073486,13.566302774183324,,21.802341210398836,1065699600,240478000,176619204,,63373000
2010-01-26,6.170582294464111,5.973999977111816,13.46280288696289,,21.996213912963867,6.403395010144516,6.14900016784668,13.641009865786778,,22.257186226876648,6.0699066768912555,5.953000068664551,13.310658045067973,,21.690503935066943,6.170881931422055,6.0279998779296875,13.352355194098122,,21.772524170858453,1867110000,191180000,174045780,,66639900
2010-01-27,6.228710651397705,6.137499809265137,13.454861640930176,,22.122968673706055,6.309610229580589,6.166500091552734,13.5926124461778,,22.234813528889067,5.978518992669106,5.940000057220459,13.286334546158347,,21.638306686456666,6.197848444842119,6.051499843597412,13.434260879179693,,21.884365936733094,1722568400,295306000,158417424,,63949500
2010-01-28,5.971328258514404,6.301499843597412,13.261017799377441,,21.742698669433594,6.157398813283011,6.360000133514404,13.576479002214521,,22.272099825158882,5.953650477678382,6.139999866485596,13.16943238041088,,21.54137704307955,6.14032030637698,6.221499919891357,13.514181092159438,,22.249730281502412,1173502400,545862000,129034836,,117513700
2010-01-29,5.754693031311035,6.270500183105469,13.15305233001709,,21.011978149414062,6.058517959755196,6.59250020980835,13.427312038031559,,22.309381867468858,5.700459968145243,6.206999778747559,13.045582182361663,,20.624247910312228,6.0249594366983406,6.488500118255615,13.365262882442469,,22.294468837768452,1245952400,589426000,165454380,,193888500
2010-02-01,5.834696292877197,5.94350004196167,13.229496002197266,,21.1834716796875,5.8727493827024215,6.243000030517578,13.298744066857214,,21.23566585641611,5.731923226685821,5.690999984741211,13.16198642225082,,20.81811102040258,5.763983577940364,6.158999919891357,13.268711223210236,,21.168558651426565,749876400,755488000,89941968,,85931100
2010-02-02,5.86855411529541,5.906000137329102,13.18233871459961,,21.220754623413086,5.882337413184987,5.948999881744385,13.277647026655869,,21.250580682458207,5.79424616170235,5.71999979019165,13.095220576356372,,20.982151839791186,5.870052699897905,5.939499855041504,13.277647026655869,,21.1536488349311,698342400,461594000,163684152,,54413700
2010-02-03,5.969529628753662,5.954999923706055,13.42309284210205,,21.347509384155273,5.998594010375022,5.980500221252441,13.454862282813028,,21.466812180570194,5.825407468492516,5.828000068664551,13.110611052229336,,20.967237142661364,5.847879837776201,5.855999946594238,13.121531915705843,,21.071625489566784,615328000,248118000,119844036,,61397900
2010-02-04,5.754395484924316,5.796999931335449,13.074620246887207,,20.75845718383789,5.943761206337017,6.016499996185303,13.353098441703782,,21.25057566439653,5.74001291363288,5.7870001792907715,13.044339589290864,,20.73608764483634,5.894621554523144,5.932000160217285,13.328279160910128,,21.16109893057476,757652000,255680000,134972892,,77850000
2010-02-05,5.856568813323975,5.869500160217285,13.186558723449707,,20.89267349243164,5.872749206980674,5.882500171661377,13.24141085178772,,21.086538581697926,5.718439393797228,5.704999923706055,12.967399916296461,,20.557137487512193,5.771773965381838,5.794000148773193,13.11482872612867,,20.877760465060874,850306800,220496000,126113760,,80960100
2010-02-08,5.816420078277588,5.8414998054504395,13.240666389465332,,20.668981552124023,5.929081187089861,6.050000190734863,13.452381317451641,,20.93741034571801,5.812824434369867,5.828000068664551,13.192516599334828,,20.55713669552137,5.8634622859715,5.968999862670898,13.21659149440008,,20.885216174115737,478270800,197804000,107664228,,52820600
2010-02-09,5.878442764282227,5.901500225067139,13.314380645751953,,20.885217666625977,5.9176940036414685,5.954500198364258,13.440714008965985,,21.13127693760964,5.835295844617221,5.849999904632568,13.28037709386677,,20.691352570974512,5.885334013917376,5.909999847412109,13.39132231283546,,20.855391610902082,632886800,184460000,112671216,,59195800
2010-02-10,5.846382141113281,5.868000030517578,13.264989852905273,,20.870304107666016,5.890728009582329,5.930500030517578,13.347887579979222,,21.056712684642864,5.820614163559372,5.800000190734863,13.097206207774532,,20.75845924591682,5.869453386122153,5.900000095367432,13.255557768946698,,20.90013016263091,370361600,124664000,106873020,,48591300
2010-02-11,5.952751636505127,6.004499912261963,13.313386917114258,,20.96723747253418,5.985112031229049,6.020999908447266,13.414900993536047,,21.17601416962966,5.814622185136366,5.824999809265137,13.142130092731037,,20.654071004706374,5.839192018155603,5.860499858856201,13.236941828174258,,20.825566555087544,550345600,166870000,96303600,,65993700
2010-02-12,6.0039873123168945,5.982999801635742,13.231978416442871,,20.8255672454834,6.041740763674654,5.997000217437744,13.332002771833043,,20.922499083464782,5.8577676975469775,5.875,13.166950762229401,,20.56459494327788,5.93597093246009,5.94950008392334,13.22825646997989,,20.736090499344357,655468800,161470000,91096812,,81117200
2010-02-16,6.094475746154785,5.876500129699707,13.435006141662598,,21.237579345703125,6.103164816800475,6.025000095367432,13.50524641531156,,21.252562107713388,6.038145205245533,5.859000205993652,13.261266430842522,,20.990369487873135,6.05072955585794,6.002999782562256,13.325054069234307,,21.072771821259913,543737600,178654000,146029824,,51935600
2010-02-17,6.0690083503723145,5.815499782562256,13.358312606811523,,21.417373657226562,6.121742856374403,5.856500148773193,13.487128850833882,,21.462320525868176,6.018370102991459,5.777500152587891,13.343421036608953,,21.245076136737723,6.118147212769891,5.853499889373779,13.452380907837703,,21.37242678858495,436396800,178896000,81106812,,45882900
2010-02-18,6.080392837524414,5.9039998054504395,13.482660293579102,,21.70203399658203,6.109157581970718,5.92549991607666,13.527088134463897,,21.74698228356397,6.020167016384638,5.741000175476074,13.306935229370529,,21.357439036062985,6.041440437735919,5.791999816894531,13.341683171517486,,21.417368656537377,422825200,196002000,93382524,,42856500
